GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.apk.heuristic,KnownFileHeuristic,20,41,2,6,6,13,2,5,0,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.apk.heuristic,SuspectKnownSignerHeuristic,40,41,4,4,8,12,4,3,0,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.apk.heuristic,KnownSignerHeuristic,18,43,2,4,1,10,2,4,0,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.apk.heuristic,KnownPackageHeuristic,32,22,2,2,6,7,2,2,0,2
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I22x,0,19,0,0,0,5,0,4,0,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,OpCode,3,0,0,0,1,0,1,0,1,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I3rms,0,26,0,0,0,6,0,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ConstWide32,0,35,0,0,0,10,0,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,PackedSwitch,35,43,4,2,2,9,5,6,2,6
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Instruction,85,85,6,0,14,15,8,13,5,13
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Const,22,33,0,0,1,10,1,5,1,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,IfTestZ,22,11,0,0,1,4,1,3,1,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I22b,0,26,0,0,0,6,0,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Goto,16,8,0,0,1,3,1,2,1,2
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ValueArrayInstance,124,79,16,3,19,16,15,6,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,SparseSwitch.Payload,7,93,0,8,1,17,1,8,1,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I11n,0,21,0,0,0,5,0,4,0,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,InstanceOp,0,32,0,0,0,10,0,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,InvocationType,25,114,3,3,4,10,5,6,2,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I22t,0,28,0,0,0,6,0,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I31i,0,19,0,0,0,5,0,4,0,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,FillArrayData,215,0,18,0,45,0,15,0,6,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,MoveObjectFrom16,21,0,0,0,7,0,4,0,4,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Goto16,16,8,0,0,1,3,1,2,1,2
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,MoveObject,21,0,0,0,7,0,4,0,4,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ReturnWide,0,18,0,0,0,6,0,3,0,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,MoveWide,0,23,0,0,0,7,0,4,0,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I35c,0,64,0,0,0,10,0,9,0,9
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Const16,0,43,0,2,0,13,0,6,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Goto32,16,8,0,0,1,3,1,2,1,2
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I10t,0,12,0,0,0,4,0,3,0,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ConstWide16,0,34,0,0,0,10,0,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Heap,8,210,2,6,1,40,2,10,0,8
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,MoveResult,16,16,0,0,1,5,1,3,1,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ConstStringJumbo,0,42,1,1,0,11,1,5,0,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,InstructionFactory,51,36,1,1,8,4,2,1,1,1
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,OpcodeRegistry,7,1275,0,0,1,258,1,6,1,6
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Nop,5,0,0,0,2,0,1,0,1,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,IPut,65,57,2,5,7,19,3,5,1,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,InvocationHook,18,0,0,0,8,0,5,0,5,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Type,5,75,0,0,0,6,1,3,1,3
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ClassLoaderLibrary,46,55,7,7,8,16,7,6,2,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,MoveException,16,5,0,0,5,2,2,1,2,1
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,VisitedMethodTracker,8,36,2,2,5,11,5,5,3,5
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ReturnVoid,0,6,0,0,0,3,0,2,0,2
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I21s,0,19,0,0,0,5,0,4,0,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,ConstWideHigh16,37,0,0,0,10,0,5,0,5,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,InstanceOf,26,0,0,0,8,0,5,0,5,0
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,SPut,6,9,0,0,2,4,2,2,2,2
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,I31t,0,19,0,0,0,5,0,4,0,4
"test (Nov 24, 2014 6:06:21 PM)/security/src",com.lookout.android.dex.vm,Move,0,21,0,0,0,7,0,4,0,4
